Epoch,Loss,MRR,Hit@1,Hit@5,Hit@10,Hit@30,Hit@50,Hit@100
0,19.8916,0.8709,0.7877,0.9719,0.9811,0.9889,0.9922,0.9935
1,19.8872,0.8780,0.7970,0.9742,0.9820,0.9903,0.9931,0.9945
2,19.8828,0.8809,0.8002,0.9765,0.9843,0.9917,0.9940,0.9949
3,19.8786,0.8861,0.8085,0.9797,0.9871,0.9931,0.9945,0.9958
4,19.8743,0.8887,0.8108,0.9815,0.9875,0.9940,0.9949,0.9958
5,19.8702,0.8912,0.8150,0.9843,0.9880,0.9945,0.9954,0.9963
6,19.8662,0.8960,0.8223,0.9843,0.9885,0.9945,0.9954,0.9968
7,19.8623,0.8984,0.8256,0.9852,0.9889,0.9945,0.9963,0.9977
8,19.8584,0.8987,0.8251,0.9862,0.9898,0.9949,0.9968,0.9982
9,19.8547,0.8993,0.8256,0.9866,0.9903,0.9949,0.9968,0.9982
10,19.8511,0.9024,0.8311,0.9862,0.9898,0.9958,0.9968,0.9982
11,19.8475,0.9030,0.8320,0.9866,0.9903,0.9958,0.9968,0.9982
12,19.8440,0.9026,0.8302,0.9875,0.9903,0.9958,0.9968,0.9986
13,19.8406,0.9037,0.8320,0.9875,0.9908,0.9958,0.9968,0.9986
14,19.8371,0.9027,0.8311,0.9875,0.9908,0.9958,0.9968,0.9986
15,19.8337,0.9041,0.8329,0.9875,0.9912,0.9963,0.9972,0.9986
16,19.8303,0.9061,0.8371,0.9880,0.9908,0.9963,0.9972,0.9986
17,19.8269,0.9034,0.8316,0.9885,0.9912,0.9963,0.9972,0.9982
18,19.8234,0.9066,0.8380,0.9885,0.9912,0.9963,0.9972,0.9986
19,19.8199,0.9047,0.8343,0.9885,0.9908,0.9968,0.9972,0.9986
20,19.8164,0.9029,0.8311,0.9885,0.9908,0.9968,0.9972,0.9986
21,19.8129,0.9041,0.8339,0.9885,0.9908,0.9968,0.9972,0.9982
22,19.8093,0.9031,0.8320,0.9885,0.9912,0.9968,0.9972,0.9982
23,19.8056,0.9033,0.8325,0.9885,0.9912,0.9968,0.9972,0.9982
24,19.8019,0.9027,0.8306,0.9889,0.9912,0.9968,0.9972,0.9982
25,19.7981,0.9055,0.8366,0.9894,0.9912,0.9968,0.9972,0.9982
26,19.7943,0.9050,0.8357,0.9889,0.9912,0.9968,0.9972,0.9982
27,19.7904,0.9036,0.8329,0.9889,0.9912,0.9968,0.9972,0.9982
28,19.7865,0.9020,0.8306,0.9889,0.9908,0.9968,0.9972,0.9982
29,19.7824,0.9032,0.8329,0.9889,0.9908,0.9968,0.9972,0.9982
30,19.7783,0.9037,0.8339,0.9889,0.9908,0.9968,0.9972,0.9982
31,19.7741,0.9015,0.8302,0.9889,0.9908,0.9968,0.9972,0.9982
32,19.7698,0.9037,0.8343,0.9885,0.9903,0.9968,0.9972,0.9982
33,19.7654,0.9055,0.8376,0.9880,0.9903,0.9972,0.9972,0.9982
34,19.7609,0.9046,0.8353,0.9880,0.9903,0.9972,0.9972,0.9982
35,19.7564,0.9038,0.8339,0.9880,0.9903,0.9972,0.9972,0.9982
36,19.7517,0.9069,0.8399,0.9880,0.9908,0.9972,0.9972,0.9982
37,19.7470,0.9057,0.8371,0.9880,0.9908,0.9968,0.9972,0.9982
38,19.7422,0.9066,0.8389,0.9880,0.9912,0.9968,0.9977,0.9982
39,19.7373,0.9062,0.8376,0.9880,0.9912,0.9968,0.9977,0.9982
40,19.7322,0.9055,0.8371,0.9880,0.9917,0.9968,0.9977,0.9982
41,19.7271,0.9055,0.8371,0.9880,0.9917,0.9968,0.9977,0.9982
42,19.7219,0.9050,0.8366,0.9880,0.9917,0.9968,0.9977,0.9982
43,19.7166,0.9044,0.8353,0.9880,0.9917,0.9968,0.9977,0.9982
44,19.7111,0.9068,0.8408,0.9880,0.9917,0.9968,0.9977,0.9982
45,19.7056,0.9039,0.8353,0.9880,0.9917,0.9968,0.9977,0.9982
46,19.6999,0.9082,0.8436,0.9880,0.9917,0.9968,0.9977,0.9982
47,19.6941,0.9056,0.8385,0.9885,0.9922,0.9968,0.9977,0.9982
48,19.6882,0.9026,0.8329,0.9880,0.9922,0.9968,0.9977,0.9982
49,19.6822,0.9033,0.8353,0.9875,0.9922,0.9968,0.9977,0.9982
50,19.6760,0.9050,0.8385,0.9871,0.9922,0.9968,0.9977,0.9982
51,19.6697,0.9017,0.8316,0.9871,0.9922,0.9968,0.9977,0.9982
52,19.6632,0.9024,0.8329,0.9871,0.9922,0.9963,0.9972,0.9982
53,19.6566,0.9043,0.8376,0.9866,0.9922,0.9963,0.9972,0.9982
54,19.6499,0.9009,0.8311,0.9866,0.9917,0.9954,0.9972,0.9982
55,19.6430,0.8988,0.8274,0.9862,0.9917,0.9954,0.9972,0.9982
56,19.6359,0.8997,0.8288,0.9852,0.9917,0.9954,0.9972,0.9982
57,19.6287,0.9004,0.8306,0.9857,0.9917,0.9954,0.9972,0.9982
58,19.6213,0.9016,0.8334,0.9852,0.9912,0.9954,0.9972,0.9982
59,19.6137,0.9031,0.8362,0.9852,0.9912,0.9954,0.9972,0.9982
60,19.6060,0.9004,0.8311,0.9852,0.9912,0.9954,0.9972,0.9982
61,19.5980,0.8996,0.8297,0.9852,0.9912,0.9954,0.9972,0.9982
62,19.5899,0.8986,0.8283,0.9848,0.9912,0.9954,0.9972,0.9982
63,19.5816,0.9003,0.8316,0.9843,0.9912,0.9954,0.9972,0.9977
64,19.5731,0.9001,0.8316,0.9834,0.9912,0.9954,0.9972,0.9977
65,19.5644,0.8998,0.8311,0.9834,0.9903,0.9954,0.9972,0.9977
66,19.5554,0.8995,0.8306,0.9834,0.9903,0.9954,0.9972,0.9977
67,19.5463,0.9008,0.8339,0.9834,0.9898,0.9954,0.9972,0.9977
68,19.5369,0.9004,0.8334,0.9834,0.9898,0.9954,0.9972,0.9977
69,19.5273,0.8966,0.8265,0.9820,0.9894,0.9954,0.9972,0.9977
70,19.5175,0.8972,0.8269,0.9820,0.9894,0.9954,0.9972,0.9977
71,19.5074,0.8963,0.8256,0.9820,0.9889,0.9954,0.9972,0.9977
72,19.4970,0.8961,0.8256,0.9820,0.9889,0.9954,0.9972,0.9977
73,19.4864,0.8965,0.8265,0.9815,0.9889,0.9954,0.9972,0.9977
74,19.4756,0.8948,0.8233,0.9802,0.9889,0.9949,0.9972,0.9977
75,19.4644,0.8944,0.8233,0.9802,0.9889,0.9949,0.9972,0.9977
76,19.4530,0.8910,0.8168,0.9802,0.9889,0.9949,0.9972,0.9977
77,19.4413,0.8934,0.8219,0.9802,0.9885,0.9949,0.9972,0.9977
78,19.4292,0.8920,0.8205,0.9802,0.9885,0.9940,0.9968,0.9977
79,19.4169,0.8900,0.8168,0.9778,0.9885,0.9940,0.9968,0.9977
80,19.4043,0.8901,0.8173,0.9778,0.9885,0.9935,0.9968,0.9977
81,19.3913,0.8908,0.8191,0.9774,0.9880,0.9935,0.9968,0.9977
82,19.3780,0.8911,0.8200,0.9774,0.9880,0.9935,0.9968,0.9977
83,19.3643,0.8914,0.8210,0.9769,0.9875,0.9935,0.9968,0.9977
84,19.3502,0.8906,0.8196,0.9765,0.9875,0.9935,0.9968,0.9977
85,19.3358,0.8897,0.8177,0.9765,0.9871,0.9935,0.9968,0.9977
86,19.3210,0.8904,0.8191,0.9765,0.9866,0.9935,0.9968,0.9977
87,19.3058,0.8854,0.8103,0.9765,0.9857,0.9931,0.9968,0.9977
88,19.2901,0.8872,0.8136,0.9760,0.9857,0.9931,0.9958,0.9977
89,19.2740,0.8871,0.8140,0.9760,0.9857,0.9931,0.9958,0.9977
90,19.2575,0.8843,0.8085,0.9760,0.9852,0.9926,0.9958,0.9977
91,19.2404,0.8846,0.8099,0.9755,0.9852,0.9922,0.9958,0.9977
92,19.2229,0.8856,0.8117,0.9746,0.9852,0.9922,0.9958,0.9977
93,19.2049,0.8813,0.8039,0.9746,0.9848,0.9922,0.9958,0.9972
94,19.1863,0.8820,0.8062,0.9746,0.9848,0.9922,0.9958,0.9977
95,19.1672,0.8820,0.8071,0.9746,0.9848,0.9922,0.9958,0.9977
96,19.1475,0.8822,0.8076,0.9746,0.9848,0.9922,0.9958,0.9977
97,19.1273,0.8809,0.8057,0.9746,0.9843,0.9922,0.9958,0.9977
98,19.1064,0.8774,0.7993,0.9751,0.9843,0.9922,0.9958,0.9977
99,19.0849,0.8803,0.8048,0.9746,0.9843,0.9917,0.9958,0.9977
100,19.0627,0.8791,0.8039,0.9737,0.9843,0.9912,0.9958,0.9977
101,19.0398,0.8772,0.8002,0.9728,0.9829,0.9903,0.9958,0.9977
102,19.0162,0.8785,0.8034,0.9728,0.9829,0.9903,0.9958,0.9977
103,18.9919,0.8793,0.8057,0.9728,0.9829,0.9903,0.9958,0.9977
104,18.9668,0.8756,0.7993,0.9719,0.9829,0.9903,0.9958,0.9977
105,18.9410,0.8763,0.8011,0.9719,0.9825,0.9903,0.9949,0.9977
106,18.9143,0.8737,0.7956,0.9714,0.9820,0.9903,0.9940,0.9977
107,18.8868,0.8720,0.7923,0.9709,0.9820,0.9912,0.9940,0.9972
108,18.8585,0.8728,0.7951,0.9705,0.9815,0.9908,0.9940,0.9972
109,18.8293,0.8708,0.7919,0.9695,0.9806,0.9908,0.9940,0.9972
110,18.7994,0.8712,0.7928,0.9695,0.9797,0.9908,0.9935,0.9972
111,18.7687,0.8679,0.7868,0.9695,0.9792,0.9903,0.9935,0.9972
112,18.7372,0.8684,0.7882,0.9691,0.9788,0.9903,0.9931,0.9963
113,18.7049,0.8666,0.7850,0.9686,0.9774,0.9898,0.9931,0.9963
114,18.6718,0.8686,0.7910,0.9677,0.9769,0.9894,0.9935,0.9958
115,18.6380,0.8654,0.7854,0.9672,0.9760,0.9889,0.9940,0.9958
116,18.6036,0.8674,0.7900,0.9663,0.9760,0.9889,0.9931,0.9958
117,18.5685,0.8662,0.7882,0.9659,0.9755,0.9885,0.9931,0.9958
118,18.5331,0.8646,0.7854,0.9640,0.9751,0.9885,0.9926,0.9958
119,18.4972,0.8629,0.7831,0.9645,0.9746,0.9880,0.9922,0.9958
120,18.4611,0.8596,0.7776,0.9640,0.9746,0.9880,0.9912,0.9958
121,18.4250,0.8617,0.7822,0.9622,0.9746,0.9871,0.9917,0.9958
122,18.3890,0.8597,0.7785,0.9608,0.9737,0.9857,0.9912,0.9958
123,18.3533,0.8604,0.7803,0.9608,0.9728,0.9852,0.9908,0.9958
124,18.3181,0.8588,0.7780,0.9608,0.9723,0.9852,0.9908,0.9958
125,18.2837,0.8585,0.7785,0.9608,0.9714,0.9852,0.9898,0.9954
126,18.2503,0.8583,0.7780,0.9603,0.9705,0.9848,0.9894,0.9954
127,18.2182,0.8552,0.7730,0.9594,0.9705,0.9848,0.9889,0.9949
128,18.1877,0.8537,0.7716,0.9580,0.9705,0.9838,0.9889,0.9949
129,18.1594,0.8542,0.7730,0.9580,0.9700,0.9843,0.9889,0.9935
130,18.1333,0.8523,0.7688,0.9571,0.9695,0.9838,0.9885,0.9926
131,18.1098,0.8521,0.7688,0.9571,0.9695,0.9838,0.9885,0.9926
132,18.0890,0.8520,0.7693,0.9571,0.9682,0.9838,0.9885,0.9931
133,18.0710,0.8529,0.7711,0.9562,0.9672,0.9834,0.9885,0.9931
134,18.0559,0.8518,0.7697,0.9534,0.9668,0.9829,0.9885,0.9922
135,18.0435,0.8512,0.7688,0.9543,0.9672,0.9834,0.9880,0.9917
136,18.0332,0.8522,0.7707,0.9543,0.9672,0.9825,0.9875,0.9917
137,18.0247,0.8522,0.7720,0.9539,0.9668,0.9820,0.9880,0.9917
138,18.0173,0.8517,0.7711,0.9543,0.9686,0.9815,0.9885,0.9917
139,18.0107,0.8512,0.7702,0.9543,0.9686,0.9834,0.9875,0.9917
140,18.0045,0.8486,0.7651,0.9548,0.9686,0.9825,0.9875,0.9917
141,17.9983,0.8495,0.7665,0.9552,0.9686,0.9820,0.9875,0.9917
142,17.9919,0.8524,0.7720,0.9552,0.9686,0.9820,0.9880,0.9917
143,17.9853,0.8517,0.7702,0.9543,0.9686,0.9820,0.9880,0.9917
144,17.9785,0.8543,0.7748,0.9548,0.9691,0.9820,0.9880,0.9917
145,17.9715,0.8554,0.7762,0.9548,0.9686,0.9825,0.9880,0.9917
146,17.9644,0.8542,0.7734,0.9552,0.9677,0.9829,0.9880,0.9926
147,17.9573,0.8553,0.7753,0.9566,0.9677,0.9838,0.9885,0.9926
148,17.9501,0.8560,0.7757,0.9566,0.9686,0.9838,0.9889,0.9931
149,17.9431,0.8576,0.7785,0.9566,0.9682,0.9834,0.9889,0.9931
150,17.9360,0.8570,0.7776,0.9566,0.9691,0.9834,0.9885,0.9931
151,17.9291,0.8553,0.7734,0.9566,0.9691,0.9834,0.9885,0.9931
152,17.9222,0.8531,0.7688,0.9566,0.9691,0.9838,0.9889,0.9931
153,17.9155,0.8554,0.7734,0.9566,0.9691,0.9829,0.9894,0.9935
154,17.9088,0.8567,0.7757,0.9566,0.9691,0.9829,0.9889,0.9935
155,17.9024,0.8548,0.7720,0.9566,0.9691,0.9834,0.9885,0.9935
156,17.8961,0.8562,0.7743,0.9571,0.9686,0.9825,0.9880,0.9935
157,17.8901,0.8569,0.7757,0.9552,0.9682,0.9829,0.9885,0.9935
158,17.8844,0.8555,0.7730,0.9571,0.9682,0.9825,0.9885,0.9935
159,17.8789,0.8577,0.7766,0.9571,0.9686,0.9829,0.9885,0.9935
160,17.8736,0.8581,0.7771,0.9575,0.9686,0.9829,0.9880,0.9935
161,17.8684,0.8587,0.7790,0.9566,0.9686,0.9829,0.9880,0.9935
162,17.8633,0.8574,0.7757,0.9566,0.9691,0.9820,0.9880,0.9935
163,17.8582,0.8591,0.7785,0.9571,0.9691,0.9820,0.9885,0.9935
164,17.8530,0.8605,0.7803,0.9580,0.9695,0.9825,0.9885,0.9935
165,17.8478,0.8588,0.7776,0.9580,0.9695,0.9815,0.9889,0.9935
166,17.8425,0.8617,0.7826,0.9575,0.9691,0.9820,0.9889,0.9935
167,17.8371,0.8617,0.7831,0.9580,0.9695,0.9815,0.9889,0.9940
168,17.8318,0.8625,0.7845,0.9589,0.9695,0.9815,0.9894,0.9940
169,17.8265,0.8634,0.7863,0.9589,0.9691,0.9820,0.9894,0.9945
170,17.8213,0.8623,0.7836,0.9585,0.9691,0.9825,0.9894,0.9945
171,17.8161,0.8625,0.7836,0.9589,0.9700,0.9829,0.9894,0.9945
172,17.8110,0.8627,0.7840,0.9589,0.9705,0.9820,0.9894,0.9945
173,17.8060,0.8628,0.7840,0.9594,0.9709,0.9820,0.9894,0.9949
174,17.8011,0.8618,0.7822,0.9599,0.9709,0.9825,0.9885,0.9949
175,17.7962,0.8618,0.7822,0.9599,0.9705,0.9820,0.9885,0.9949
176,17.7914,0.8652,0.7896,0.9599,0.9709,0.9820,0.9889,0.9945
177,17.7865,0.8640,0.7868,0.9603,0.9709,0.9820,0.9889,0.9940
178,17.7816,0.8643,0.7877,0.9599,0.9714,0.9820,0.9894,0.9945
179,17.7767,0.8623,0.7831,0.9608,0.9709,0.9820,0.9894,0.9945
180,17.7718,0.8624,0.7831,0.9608,0.9709,0.9815,0.9894,0.9945
181,17.7670,0.8615,0.7813,0.9603,0.9709,0.9815,0.9894,0.9945
182,17.7621,0.8628,0.7840,0.9603,0.9709,0.9815,0.9894,0.9940
183,17.7573,0.8627,0.7840,0.9603,0.9709,0.9811,0.9894,0.9935
184,17.7526,0.8610,0.7803,0.9608,0.9709,0.9815,0.9894,0.9935
185,17.7478,0.8610,0.7803,0.9608,0.9714,0.9815,0.9898,0.9931
186,17.7431,0.8595,0.7766,0.9608,0.9709,0.9815,0.9898,0.9931
187,17.7385,0.8623,0.7822,0.9612,0.9709,0.9815,0.9898,0.9935
188,17.7338,0.8636,0.7854,0.9617,0.9709,0.9815,0.9898,0.9935
189,17.7291,0.8615,0.7808,0.9617,0.9709,0.9815,0.9898,0.9935
190,17.7245,0.8620,0.7817,0.9617,0.9709,0.9815,0.9898,0.9935
191,17.7199,0.8621,0.7826,0.9617,0.9709,0.9811,0.9898,0.9935
192,17.7153,0.8617,0.7813,0.9617,0.9709,0.9820,0.9898,0.9935
193,17.7107,0.8614,0.7813,0.9617,0.9705,0.9820,0.9898,0.9935
