Epoch,Loss,MRR,Hit@1,Hit@5,Hit@10,Hit@30,Hit@50,Hit@100
0,19.6585,0.5268,0.3887,0.7261,0.8034,0.8336,0.8381,0.8439
1,19.6538,0.5264,0.3877,0.7251,0.8042,0.8350,0.8387,0.8431
2,19.6489,0.5276,0.3895,0.7265,0.8043,0.8348,0.8389,0.8433
3,19.6441,0.5242,0.3852,0.7269,0.8051,0.8348,0.8389,0.8431
4,19.6391,0.5260,0.3877,0.7259,0.8049,0.8346,0.8387,0.8431
5,19.6341,0.5272,0.3899,0.7253,0.8051,0.8346,0.8385,0.8443
6,19.6290,0.5257,0.3874,0.7257,0.8057,0.8346,0.8389,0.8443
7,19.6239,0.5264,0.3883,0.7257,0.8057,0.8338,0.8377,0.8429
8,19.6186,0.5275,0.3899,0.7273,0.8057,0.8342,0.8391,0.8431
9,19.6133,0.5256,0.3877,0.7247,0.8049,0.8342,0.8387,0.8433
10,19.6080,0.5264,0.3879,0.7265,0.8059,0.8342,0.8379,0.8433
11,19.6025,0.5266,0.3874,0.7265,0.8061,0.8342,0.8381,0.8439
12,19.5970,0.5263,0.3874,0.7255,0.8049,0.8340,0.8377,0.8441
13,19.5914,0.5255,0.3864,0.7265,0.8055,0.8342,0.8379,0.8431
14,19.5857,0.5262,0.3883,0.7257,0.8057,0.8342,0.8381,0.8433
15,19.5799,0.5265,0.3883,0.7271,0.8061,0.8348,0.8389,0.8445
16,19.5741,0.5250,0.3864,0.7259,0.8051,0.8338,0.8379,0.8429
17,19.5681,0.5253,0.3862,0.7265,0.8061,0.8344,0.8387,0.8453
18,19.5621,0.5257,0.3872,0.7247,0.8057,0.8346,0.8395,0.8457
19,19.5560,0.5270,0.3883,0.7261,0.8055,0.8344,0.8389,0.8445
20,19.5497,0.5261,0.3877,0.7265,0.8057,0.8344,0.8395,0.8445
21,19.5434,0.5256,0.3872,0.7267,0.8065,0.8340,0.8387,0.8439
22,19.5370,0.5261,0.3877,0.7273,0.8061,0.8338,0.8391,0.8443
23,19.5305,0.5255,0.3866,0.7271,0.8063,0.8342,0.8389,0.8437
24,19.5238,0.5254,0.3860,0.7251,0.8059,0.8344,0.8387,0.8445
25,19.5171,0.5252,0.3856,0.7275,0.8053,0.8344,0.8399,0.8451
26,19.5102,0.5262,0.3877,0.7269,0.8067,0.8352,0.8399,0.8451
27,19.5033,0.5257,0.3868,0.7249,0.8063,0.8352,0.8399,0.8445
28,19.4962,0.5256,0.3874,0.7265,0.8069,0.8352,0.8395,0.8441
29,19.4891,0.5250,0.3860,0.7247,0.8065,0.8354,0.8397,0.8455
30,19.4818,0.5248,0.3858,0.7269,0.8073,0.8350,0.8393,0.8449
31,19.4744,0.5261,0.3866,0.7267,0.8077,0.8356,0.8403,0.8451
32,19.4669,0.5240,0.3840,0.7271,0.8073,0.8350,0.8403,0.8457
33,19.4592,0.5249,0.3846,0.7277,0.8065,0.8348,0.8403,0.8458
34,19.4514,0.5253,0.3856,0.7273,0.8073,0.8354,0.8405,0.8455
35,19.4435,0.5254,0.3848,0.7300,0.8065,0.8346,0.8397,0.8449
36,19.4355,0.5250,0.3856,0.7275,0.8071,0.8352,0.8399,0.8457
37,19.4273,0.5255,0.3850,0.7285,0.8073,0.8358,0.8409,0.8468
38,19.4190,0.5259,0.3862,0.7283,0.8077,0.8350,0.8403,0.8458
39,19.4106,0.5250,0.3856,0.7275,0.8075,0.8348,0.8401,0.8458
40,19.4019,0.5254,0.3862,0.7281,0.8077,0.8350,0.8401,0.8460
41,19.3932,0.5260,0.3862,0.7294,0.8077,0.8360,0.8411,0.8470
42,19.3843,0.5267,0.3870,0.7285,0.8085,0.8360,0.8405,0.8466
43,19.3752,0.5272,0.3881,0.7292,0.8079,0.8352,0.8407,0.8458
44,19.3659,0.5268,0.3870,0.7298,0.8085,0.8354,0.8407,0.8458
45,19.3565,0.5283,0.3887,0.7302,0.8083,0.8358,0.8407,0.8458
46,19.3469,0.5278,0.3883,0.7300,0.8085,0.8362,0.8415,0.8460
47,19.3371,0.5268,0.3875,0.7302,0.8085,0.8362,0.8413,0.8464
48,19.3272,0.5260,0.3854,0.7292,0.8083,0.8364,0.8419,0.8464
49,19.3170,0.5272,0.3870,0.7298,0.8083,0.8360,0.8411,0.8458
50,19.3067,0.5269,0.3877,0.7289,0.8073,0.8354,0.8399,0.8457
51,19.2961,0.5259,0.3854,0.7283,0.8085,0.8368,0.8415,0.8472
52,19.2854,0.5276,0.3879,0.7289,0.8085,0.8366,0.8405,0.8455
53,19.2745,0.5258,0.3860,0.7291,0.8083,0.8366,0.8405,0.8462
54,19.2633,0.5272,0.3877,0.7312,0.8081,0.8368,0.8415,0.8464
55,19.2520,0.5271,0.3872,0.7302,0.8081,0.8366,0.8409,0.8462
56,19.2404,0.5260,0.3864,0.7298,0.8077,0.8368,0.8407,0.8466
57,19.2286,0.5254,0.3846,0.7300,0.8079,0.8370,0.8409,0.8464
58,19.2166,0.5252,0.3850,0.7292,0.8085,0.8375,0.8415,0.8468
59,19.2043,0.5255,0.3852,0.7296,0.8079,0.8372,0.8407,0.8462
60,19.1918,0.5256,0.3856,0.7292,0.8077,0.8374,0.8409,0.8466
61,19.1791,0.5276,0.3874,0.7302,0.8089,0.8375,0.8419,0.8472
62,19.1661,0.5266,0.3856,0.7306,0.8081,0.8379,0.8419,0.8470
63,19.1529,0.5272,0.3870,0.7300,0.8077,0.8374,0.8421,0.8474
64,19.1394,0.5269,0.3874,0.7294,0.8075,0.8374,0.8413,0.8464
65,19.1256,0.5267,0.3870,0.7298,0.8073,0.8374,0.8417,0.8472
66,19.1116,0.5271,0.3874,0.7292,0.8069,0.8377,0.8419,0.8466
67,19.0972,0.5261,0.3856,0.7296,0.8067,0.8375,0.8421,0.8470
68,19.0827,0.5268,0.3862,0.7310,0.8067,0.8374,0.8415,0.8464
69,19.0678,0.5258,0.3854,0.7283,0.8059,0.8375,0.8413,0.8468
70,19.0526,0.5263,0.3844,0.7304,0.8067,0.8381,0.8427,0.8478
71,19.0371,0.5265,0.3858,0.7306,0.8069,0.8377,0.8419,0.8466
72,19.0214,0.5261,0.3856,0.7296,0.8061,0.8379,0.8421,0.8470
73,19.0054,0.5274,0.3879,0.7302,0.8059,0.8374,0.8423,0.8476
74,18.9890,0.5258,0.3856,0.7283,0.8057,0.8377,0.8419,0.8482
75,18.9724,0.5263,0.3864,0.7291,0.8061,0.8374,0.8421,0.8480
76,18.9554,0.5257,0.3848,0.7291,0.8057,0.8375,0.8421,0.8474
77,18.9382,0.5267,0.3868,0.7300,0.8057,0.8374,0.8425,0.8478
78,18.9207,0.5258,0.3850,0.7292,0.8057,0.8375,0.8417,0.8478
79,18.9029,0.5255,0.3850,0.7294,0.8057,0.8370,0.8419,0.8482
80,18.8848,0.5258,0.3852,0.7296,0.8067,0.8379,0.8429,0.8486
81,18.8665,0.5255,0.3838,0.7320,0.8063,0.8381,0.8427,0.8476
82,18.8479,0.5252,0.3842,0.7320,0.8063,0.8383,0.8429,0.8474
83,18.8289,0.5251,0.3840,0.7300,0.8069,0.8385,0.8425,0.8474
84,18.8097,0.5246,0.3822,0.7320,0.8073,0.8385,0.8423,0.8468
85,18.7903,0.5250,0.3830,0.7308,0.8069,0.8379,0.8419,0.8480
86,18.7706,0.5254,0.3830,0.7332,0.8079,0.8393,0.8429,0.8486
87,18.7505,0.5246,0.3828,0.7296,0.8069,0.8381,0.8419,0.8478
88,18.7303,0.5263,0.3850,0.7312,0.8067,0.8383,0.8429,0.8476
89,18.7097,0.5249,0.3836,0.7314,0.8067,0.8381,0.8423,0.8480
90,18.6888,0.5255,0.3844,0.7316,0.8063,0.8385,0.8421,0.8482
91,18.6676,0.5261,0.3848,0.7308,0.8065,0.8387,0.8427,0.8482
92,18.6461,0.5266,0.3854,0.7314,0.8065,0.8391,0.8427,0.8486
93,18.6244,0.5258,0.3842,0.7310,0.8065,0.8389,0.8431,0.8486
94,18.6023,0.5264,0.3852,0.7312,0.8063,0.8397,0.8437,0.8486
95,18.5799,0.5250,0.3830,0.7310,0.8069,0.8393,0.8437,0.8488
96,18.5573,0.5274,0.3864,0.7322,0.8069,0.8401,0.8447,0.8496
97,18.5344,0.5265,0.3846,0.7302,0.8063,0.8389,0.8443,0.8490
98,18.5112,0.5258,0.3844,0.7326,0.8069,0.8391,0.8439,0.8496
99,18.4879,0.5254,0.3844,0.7292,0.8067,0.8393,0.8451,0.8498
100,18.4643,0.5258,0.3842,0.7316,0.8073,0.8391,0.8447,0.8494
101,18.4405,0.5269,0.3860,0.7316,0.8077,0.8397,0.8447,0.8490
102,18.4166,0.5256,0.3844,0.7316,0.8071,0.8393,0.8445,0.8500
103,18.3926,0.5280,0.3874,0.7326,0.8073,0.8393,0.8437,0.8484
104,18.3684,0.5269,0.3864,0.7314,0.8069,0.8391,0.8439,0.8492
105,18.3442,0.5258,0.3854,0.7289,0.8067,0.8395,0.8433,0.8488
106,18.3199,0.5271,0.3866,0.7308,0.8075,0.8395,0.8435,0.8498
107,18.2957,0.5269,0.3860,0.7296,0.8065,0.8391,0.8437,0.8496
108,18.2715,0.5267,0.3856,0.7312,0.8065,0.8391,0.8439,0.8492
109,18.2475,0.5275,0.3874,0.7304,0.8067,0.8397,0.8443,0.8496
110,18.2235,0.5262,0.3852,0.7294,0.8071,0.8389,0.8439,0.8498
111,18.1998,0.5279,0.3872,0.7322,0.8065,0.8385,0.8433,0.8494
112,18.1763,0.5273,0.3866,0.7316,0.8071,0.8385,0.8445,0.8502
113,18.1531,0.5276,0.3872,0.7314,0.8073,0.8397,0.8449,0.8504
114,18.1303,0.5282,0.3891,0.7312,0.8067,0.8389,0.8439,0.8496
115,18.1078,0.5276,0.3868,0.7312,0.8073,0.8393,0.8439,0.8496
116,18.0858,0.5274,0.3866,0.7308,0.8069,0.8397,0.8445,0.8500
117,18.0644,0.5270,0.3868,0.7308,0.8063,0.8393,0.8441,0.8498
118,18.0434,0.5273,0.3866,0.7302,0.8065,0.8387,0.8435,0.8494
119,18.0231,0.5278,0.3872,0.7308,0.8061,0.8389,0.8441,0.8502
120,18.0033,0.5282,0.3879,0.7318,0.8061,0.8389,0.8439,0.8502
121,17.9842,0.5287,0.3879,0.7320,0.8081,0.8393,0.8441,0.8502
122,17.9658,0.5286,0.3879,0.7306,0.8073,0.8385,0.8435,0.8502
123,17.9481,0.5289,0.3897,0.7306,0.8067,0.8391,0.8451,0.8498
124,17.9311,0.5293,0.3897,0.7304,0.8063,0.8385,0.8443,0.8496
125,17.9149,0.5297,0.3899,0.7304,0.8067,0.8397,0.8451,0.8506
126,17.8994,0.5291,0.3889,0.7312,0.8073,0.8387,0.8445,0.8492
127,17.8846,0.5283,0.3870,0.7308,0.8067,0.8389,0.8455,0.8490
128,17.8706,0.5283,0.3874,0.7294,0.8059,0.8395,0.8460,0.8496
129,17.8573,0.5287,0.3877,0.7320,0.8063,0.8393,0.8453,0.8490
130,17.8447,0.5302,0.3893,0.7332,0.8063,0.8393,0.8455,0.8492
131,17.8328,0.5286,0.3872,0.7324,0.8061,0.8393,0.8455,0.8492
132,17.8216,0.5284,0.3870,0.7320,0.8069,0.8395,0.8451,0.8492
133,17.8110,0.5288,0.3874,0.7310,0.8061,0.8401,0.8437,0.8488
134,17.8010,0.5287,0.3868,0.7326,0.8069,0.8399,0.8435,0.8490
135,17.7916,0.5299,0.3889,0.7312,0.8061,0.8405,0.8441,0.8494
136,17.7827,0.5291,0.3872,0.7328,0.8065,0.8401,0.8443,0.8494
137,17.7744,0.5283,0.3862,0.7338,0.8055,0.8393,0.8431,0.8490
138,17.7665,0.5286,0.3866,0.7336,0.8063,0.8405,0.8435,0.8492
139,17.7591,0.5296,0.3881,0.7322,0.8063,0.8401,0.8433,0.8492
140,17.7521,0.5301,0.3893,0.7326,0.8061,0.8401,0.8431,0.8496
141,17.7455,0.5292,0.3870,0.7316,0.8059,0.8403,0.8431,0.8492
142,17.7392,0.5293,0.3877,0.7312,0.8055,0.8409,0.8433,0.8494
143,17.7332,0.5288,0.3875,0.7332,0.8063,0.8405,0.8435,0.8502
144,17.7275,0.5309,0.3901,0.7330,0.8065,0.8403,0.8431,0.8498
145,17.7221,0.5298,0.3899,0.7310,0.8073,0.8399,0.8433,0.8496
146,17.7169,0.5302,0.3901,0.7318,0.8069,0.8401,0.8425,0.8492
147,17.7119,0.5295,0.3879,0.7322,0.8073,0.8397,0.8419,0.8478
148,17.7071,0.5288,0.3879,0.7304,0.8067,0.8403,0.8427,0.8496
149,17.7024,0.5294,0.3874,0.7336,0.8065,0.8405,0.8431,0.8496
150,17.6979,0.5285,0.3877,0.7306,0.8063,0.8399,0.8423,0.8490
151,17.6935,0.5298,0.3887,0.7316,0.8061,0.8405,0.8433,0.8498
152,17.6892,0.5297,0.3895,0.7320,0.8061,0.8401,0.8433,0.8490
153,17.6850,0.5304,0.3893,0.7336,0.8059,0.8395,0.8427,0.8492
154,17.6808,0.5292,0.3889,0.7320,0.8059,0.8399,0.8439,0.8502
155,17.6767,0.5296,0.3897,0.7312,0.8059,0.8401,0.8439,0.8494
156,17.6727,0.5299,0.3899,0.7306,0.8055,0.8405,0.8441,0.8492
157,17.6687,0.5300,0.3905,0.7314,0.8049,0.8397,0.8441,0.8496
158,17.6648,0.5298,0.3905,0.7296,0.8059,0.8415,0.8449,0.8504
159,17.6608,0.5282,0.3887,0.7289,0.8057,0.8419,0.8451,0.8494
160,17.6570,0.5281,0.3885,0.7283,0.8047,0.8411,0.8435,0.8490
161,17.6531,0.5272,0.3866,0.7281,0.8053,0.8415,0.8445,0.8490
162,17.6493,0.5299,0.3899,0.7298,0.8047,0.8419,0.8445,0.8488
163,17.6455,0.5285,0.3883,0.7308,0.8059,0.8421,0.8455,0.8496
