Epoch,Loss,MRR,Hit@1,Hit@5,Hit@10,Hit@30,Hit@50,Hit@100
0,19.9407,0.0053,0.3994,0.7109,0.7929,0.8628,0.8889,0.9208
1,19.9394,0.0053,0.3982,0.7095,0.7941,0.8632,0.8889,0.9213
2,19.9381,0.0053,0.4004,0.7107,0.7935,0.8634,0.8891,0.9211
3,19.9368,0.0053,0.3998,0.7111,0.7937,0.8638,0.8895,0.9217
4,19.9354,0.0053,0.4008,0.7103,0.7935,0.8648,0.8901,0.9215
5,19.9340,0.0053,0.3996,0.7103,0.7937,0.8648,0.8897,0.9221
6,19.9326,0.0053,0.4002,0.7107,0.7937,0.8650,0.8899,0.9223
7,19.9311,0.0053,0.4016,0.7109,0.7941,0.8652,0.8903,0.9229
8,19.9297,0.0053,0.4006,0.7095,0.7939,0.8656,0.8909,0.9231
9,19.9281,0.0053,0.3992,0.7119,0.7943,0.8660,0.8913,0.9235
