Epoch,Loss,MRR,Hit@1,Hit@5,Hit@10,Hit@30,Hit@50,Hit@100
0,19.9186,0.2854,0.1866,0.3754,0.5039,0.6425,0.7095,0.8134
1,19.9163,0.2867,0.1855,0.3821,0.5128,0.6447,0.7151,0.8145
2,19.9139,0.2891,0.1877,0.3788,0.5117,0.6425,0.7196,0.8179
3,19.9115,0.2864,0.1832,0.3810,0.5140,0.6436,0.7263,0.8246
4,19.9090,0.2922,0.1911,0.3799,0.5128,0.6492,0.7318,0.8302
5,19.9066,0.2926,0.1899,0.3866,0.5095,0.6559,0.7341,0.8302
6,19.9041,0.2964,0.1955,0.3899,0.5173,0.6570,0.7408,0.8313
7,19.9016,0.2965,0.1933,0.3933,0.5184,0.6648,0.7441,0.8346
8,19.8990,0.2985,0.1944,0.4000,0.5196,0.6715,0.7475,0.8380
9,19.8965,0.2983,0.1933,0.4034,0.5196,0.6760,0.7531,0.8380
10,19.8939,0.3033,0.1955,0.4067,0.5196,0.6804,0.7542,0.8413
11,19.8912,0.3035,0.1966,0.4112,0.5196,0.6860,0.7575,0.8425
12,19.8885,0.3039,0.1966,0.4089,0.5274,0.6860,0.7587,0.8480
13,19.8858,0.3041,0.1955,0.4101,0.5285,0.6883,0.7631,0.8514
14,19.8831,0.3067,0.1978,0.4156,0.5330,0.6939,0.7642,0.8570
15,19.8803,0.3038,0.1911,0.4156,0.5374,0.6994,0.7654,0.8603
16,19.8775,0.3106,0.2000,0.4201,0.5397,0.7006,0.7698,0.8648
17,19.8746,0.3081,0.1955,0.4212,0.5385,0.7084,0.7754,0.8682
18,19.8717,0.3134,0.2022,0.4223,0.5441,0.7128,0.7788,0.8715
19,19.8688,0.3117,0.1966,0.4223,0.5486,0.7162,0.7821,0.8726
20,19.8658,0.3160,0.2022,0.4235,0.5564,0.7173,0.7877,0.8749
21,19.8628,0.3193,0.2056,0.4302,0.5575,0.7207,0.7888,0.8782
22,19.8597,0.3203,0.2089,0.4302,0.5553,0.7218,0.7922,0.8793
23,19.8566,0.3282,0.2156,0.4369,0.5598,0.7240,0.7922,0.8827
24,19.8535,0.3259,0.2134,0.4391,0.5631,0.7263,0.7955,0.8894
25,19.8502,0.3271,0.2134,0.4458,0.5676,0.7296,0.7989,0.8883
26,19.8470,0.3275,0.2123,0.4514,0.5654,0.7330,0.8000,0.8905
27,19.8437,0.3307,0.2123,0.4570,0.5676,0.7385,0.8011,0.8927
28,19.8403,0.3316,0.2145,0.4581,0.5721,0.7419,0.8056,0.8939
29,19.8369,0.3352,0.2212,0.4570,0.5743,0.7419,0.8101,0.8961
30,19.8334,0.3336,0.2156,0.4559,0.5799,0.7430,0.8112,0.8961
31,19.8299,0.3357,0.2190,0.4581,0.5799,0.7430,0.8145,0.8972
32,19.8263,0.3386,0.2212,0.4648,0.5855,0.7486,0.8168,0.8939
33,19.8226,0.3366,0.2156,0.4637,0.5888,0.7497,0.8168,0.8950
34,19.8189,0.3387,0.2201,0.4693,0.5877,0.7542,0.8145,0.8950
35,19.8151,0.3417,0.2235,0.4704,0.5911,0.7531,0.8134,0.8950
36,19.8113,0.3445,0.2268,0.4693,0.5933,0.7553,0.8134,0.8950
37,19.8073,0.3456,0.2257,0.4737,0.5966,0.7553,0.8123,0.8972
38,19.8033,0.3467,0.2268,0.4749,0.5955,0.7564,0.8123,0.8983
39,19.7992,0.3485,0.2291,0.4749,0.5944,0.7553,0.8134,0.9017
40,19.7951,0.3510,0.2324,0.4737,0.5955,0.7531,0.8145,0.9017
41,19.7908,0.3513,0.2335,0.4793,0.6000,0.7542,0.8112,0.9017
42,19.7865,0.3492,0.2279,0.4771,0.6034,0.7542,0.8112,0.9028
43,19.7821,0.3540,0.2369,0.4793,0.6022,0.7542,0.8123,0.9017
44,19.7776,0.3499,0.2291,0.4827,0.6000,0.7564,0.8134,0.9017
45,19.7730,0.3535,0.2324,0.4872,0.6034,0.7553,0.8156,0.9028
46,19.7683,0.3524,0.2302,0.4860,0.6022,0.7564,0.8156,0.9028
