Epoch,Loss,MRR,Hit@1,Hit@5,Hit@10,Hit@30,Hit@50,Hit@100
0,19.7130,0.1510,0.0978,0.2089,0.2655,0.3354,0.3548,0.3905
1,19.7110,0.1510,0.0978,0.2104,0.2655,0.3354,0.3540,0.3905
2,19.7090,0.1506,0.0970,0.2104,0.2655,0.3354,0.3533,0.3905
3,19.7070,0.1506,0.0970,0.2096,0.2663,0.3354,0.3540,0.3898
4,19.7050,0.1507,0.0970,0.2096,0.2655,0.3354,0.3540,0.3898
5,19.7029,0.1505,0.0970,0.2096,0.2655,0.3346,0.3533,0.3905
6,19.7008,0.1506,0.0970,0.2081,0.2655,0.3346,0.3533,0.3905
7,19.6987,0.1503,0.0963,0.2089,0.2655,0.3346,0.3540,0.3913
8,19.6966,0.1503,0.0963,0.2096,0.2648,0.3346,0.3540,0.3913
9,19.6945,0.1503,0.0963,0.2096,0.2655,0.3346,0.3533,0.3905
10,19.6924,0.1501,0.0955,0.2096,0.2648,0.3339,0.3533,0.3890
11,19.6902,0.1501,0.0955,0.2089,0.2663,0.3339,0.3533,0.3890
12,19.6881,0.1497,0.0947,0.2089,0.2663,0.3339,0.3533,0.3898
13,19.6859,0.1498,0.0947,0.2096,0.2679,0.3339,0.3533,0.3905
14,19.6837,0.1494,0.0939,0.2089,0.2671,0.3346,0.3540,0.3913
15,19.6815,0.1498,0.0947,0.2089,0.2671,0.3346,0.3548,0.3905
16,19.6793,0.1494,0.0939,0.2081,0.2671,0.3346,0.3540,0.3905
17,19.6770,0.1494,0.0939,0.2073,0.2671,0.3346,0.3540,0.3905
18,19.6748,0.1491,0.0932,0.2073,0.2671,0.3339,0.3533,0.3898
19,19.6725,0.1491,0.0932,0.2081,0.2671,0.3331,0.3533,0.3898
20,19.6702,0.1491,0.0932,0.2089,0.2655,0.3331,0.3540,0.3890
21,19.6679,0.1492,0.0932,0.2089,0.2655,0.3331,0.3540,0.3913
22,19.6656,0.1492,0.0932,0.2096,0.2648,0.3331,0.3540,0.3913
23,19.6632,0.1494,0.0932,0.2096,0.2655,0.3339,0.3533,0.3929
24,19.6608,0.1494,0.0932,0.2089,0.2655,0.3346,0.3533,0.3921
25,19.6584,0.1494,0.0932,0.2089,0.2655,0.3339,0.3548,0.3921
26,19.6560,0.1493,0.0932,0.2089,0.2655,0.3339,0.3556,0.3921
27,19.6536,0.1493,0.0932,0.2089,0.2655,0.3339,0.3548,0.3921
28,19.6512,0.1492,0.0932,0.2081,0.2671,0.3339,0.3556,0.3921
29,19.6487,0.1492,0.0932,0.2081,0.2671,0.3339,0.3556,0.3913
30,19.6462,0.1490,0.0932,0.2081,0.2671,0.3354,0.3564,0.3913
31,19.6437,0.1491,0.0932,0.2065,0.2671,0.3354,0.3564,0.3913
32,19.6411,0.1491,0.0932,0.2057,0.2663,0.3354,0.3564,0.3921
33,19.6386,0.1496,0.0939,0.2065,0.2663,0.3354,0.3571,0.3921
34,19.6360,0.1492,0.0932,0.2065,0.2663,0.3346,0.3571,0.3913
35,19.6334,0.1495,0.0939,0.2057,0.2671,0.3346,0.3571,0.3921
36,19.6308,0.1495,0.0939,0.2057,0.2679,0.3346,0.3579,0.3913
37,19.6281,0.1493,0.0939,0.2057,0.2679,0.3346,0.3579,0.3921
38,19.6255,0.1493,0.0939,0.2057,0.2671,0.3346,0.3579,0.3921
39,19.6228,0.1492,0.0939,0.2050,0.2671,0.3346,0.3571,0.3921
40,19.6201,0.1493,0.0939,0.2042,0.2671,0.3346,0.3571,0.3929
41,19.6173,0.1492,0.0939,0.2042,0.2663,0.3346,0.3564,0.3929
42,19.6145,0.1496,0.0947,0.2026,0.2663,0.3346,0.3564,0.3929
43,19.6117,0.1493,0.0939,0.2034,0.2671,0.3346,0.3564,0.3929
44,19.6089,0.1494,0.0939,0.2050,0.2663,0.3346,0.3564,0.3929
45,19.6061,0.1489,0.0932,0.2042,0.2671,0.3362,0.3564,0.3929
46,19.6032,0.1488,0.0932,0.2042,0.2663,0.3377,0.3564,0.3944
47,19.6003,0.1494,0.0939,0.2057,0.2663,0.3377,0.3564,0.3944
