Epoch,Loss,MRR,Hit@1,Hit@5,Hit@10,Hit@30,Hit@50,Hit@100
0,19.7292,0.0655,0.0200,0.0688,0.1450,0.3937,0.4950,0.5350
1,19.7276,0.0655,0.0200,0.0688,0.1450,0.3937,0.4938,0.5363
2,19.7261,0.0655,0.0200,0.0688,0.1450,0.3925,0.4950,0.5363
3,19.7245,0.0655,0.0200,0.0688,0.1462,0.3925,0.4950,0.5375
4,19.7230,0.0655,0.0200,0.0688,0.1462,0.3925,0.4975,0.5375
5,19.7214,0.0655,0.0200,0.0688,0.1450,0.3925,0.4988,0.5375
6,19.7199,0.0656,0.0200,0.0688,0.1450,0.3925,0.5000,0.5375
7,19.7183,0.0656,0.0200,0.0688,0.1462,0.3925,0.5000,0.5375
8,19.7167,0.0657,0.0200,0.0688,0.1462,0.3925,0.5000,0.5375
9,19.7151,0.0657,0.0200,0.0688,0.1462,0.3925,0.5000,0.5375
10,19.7134,0.0657,0.0200,0.0688,0.1462,0.3925,0.5000,0.5375
11,19.7118,0.0657,0.0200,0.0688,0.1462,0.3925,0.5000,0.5375
12,19.7102,0.0656,0.0200,0.0688,0.1462,0.3950,0.5000,0.5375
13,19.7085,0.0654,0.0200,0.0688,0.1462,0.3950,0.5000,0.5375
14,19.7069,0.0654,0.0200,0.0688,0.1450,0.3950,0.5000,0.5375
15,19.7052,0.0654,0.0200,0.0688,0.1450,0.3950,0.5000,0.5375
16,19.7035,0.0654,0.0200,0.0688,0.1437,0.3950,0.5000,0.5375
17,19.7018,0.0654,0.0200,0.0688,0.1437,0.3950,0.5000,0.5375
18,19.7001,0.0654,0.0200,0.0688,0.1437,0.3950,0.5000,0.5387
19,19.6984,0.0654,0.0200,0.0688,0.1437,0.3950,0.5012,0.5387
20,19.6966,0.0655,0.0200,0.0688,0.1437,0.3950,0.5012,0.5400
21,19.6949,0.0654,0.0200,0.0675,0.1437,0.3950,0.5025,0.5413
22,19.6931,0.0654,0.0200,0.0675,0.1437,0.3950,0.5025,0.5437
23,19.6914,0.0654,0.0200,0.0675,0.1450,0.3950,0.5038,0.5450
24,19.6896,0.0648,0.0187,0.0675,0.1450,0.3950,0.5038,0.5450
25,19.6878,0.0648,0.0187,0.0675,0.1450,0.3950,0.5050,0.5450
26,19.6859,0.0648,0.0187,0.0675,0.1450,0.3950,0.5050,0.5450
27,19.6841,0.0648,0.0187,0.0675,0.1450,0.3950,0.5050,0.5450
28,19.6823,0.0648,0.0187,0.0675,0.1450,0.3950,0.5050,0.5450
29,19.6804,0.0649,0.0187,0.0675,0.1450,0.3937,0.5050,0.5450
30,19.6785,0.0648,0.0187,0.0675,0.1450,0.3950,0.5062,0.5450
31,19.6766,0.0648,0.0187,0.0675,0.1450,0.3950,0.5062,0.5450
32,19.6747,0.0649,0.0187,0.0675,0.1450,0.3950,0.5050,0.5450
33,19.6728,0.0649,0.0187,0.0675,0.1437,0.3950,0.5050,0.5450
34,19.6709,0.0649,0.0187,0.0675,0.1437,0.3950,0.5050,0.5450
35,19.6689,0.0649,0.0187,0.0675,0.1437,0.3950,0.5050,0.5450
36,19.6670,0.0649,0.0187,0.0675,0.1437,0.3950,0.5050,0.5450
37,19.6650,0.0649,0.0187,0.0675,0.1437,0.3962,0.5050,0.5450
38,19.6630,0.0649,0.0187,0.0675,0.1425,0.3962,0.5050,0.5450
39,19.6610,0.0649,0.0187,0.0675,0.1412,0.3962,0.5050,0.5450
