,Hit@1,Hit@5,Hit@10,Hit@30,Hit@50,Hit@100,MRR,std@1,std@5,std@10,std@30,std@50,std@100,std_MRR
PE_(0.0),0.042,0.155,0.253,0.520,0.642,0.730,0.112,0.005,0.010,0.009,0.006,0.010,0.012,0.000
PE_(0.0),0.047,0.158,0.254,0.521,0.644,0.733,0.115,0.005,0.005,0.008,0.008,0.006,0.005,0.000
PE_(0.0),0.039,0.134,0.217,0.429,0.529,0.644,0.097,0.003,0.007,0.010,0.009,0.011,0.011,0.000
PE_(0.0),0.041,0.135,0.215,0.427,0.525,0.643,0.099,0.003,0.005,0.006,0.009,0.011,0.016,0.000
PE_(0.0),0.029,0.107,0.178,0.349,0.431,0.563,0.079,0.005,0.005,0.005,0.014,0.013,0.019,0.000
PE_(0.0),0.032,0.111,0.178,0.346,0.431,0.562,0.081,0.003,0.007,0.007,0.006,0.008,0.007,0.000
PE_(0.0),0.026,0.090,0.149,0.279,0.349,0.489,0.067,0.004,0.007,0.007,0.013,0.018,0.024,0.000
PE_(0.0),0.026,0.091,0.147,0.287,0.356,0.494,0.067,0.003,0.007,0.008,0.007,0.011,0.018,0.000
PE_(0.0),0.081,0.137,0.184,0.296,0.363,0.506,0.116,0.091,0.085,0.081,0.076,0.085,0.092,0.000
PE_(0.0),0.079,0.135,0.183,0.296,0.361,0.502,0.114,0.088,0.082,0.078,0.075,0.081,0.088,0.000
PE_(0.0),0.197,0.242,0.279,0.374,0.440,0.586,0.226,0.060,0.057,0.054,0.057,0.061,0.064,0.000
PE_(0.0),0.020,0.073,0.119,0.215,0.268,0.410,0.054,0.002,0.004,0.004,0.009,0.010,0.012,0.000
PE_(0.0),0.039,0.089,0.130,0.221,0.272,0.402,0.072,0.060,0.057,0.054,0.055,0.059,0.063,0.000
PE_(0.0),0.019,0.072,0.114,0.205,0.255,0.394,0.052,0.002,0.003,0.004,0.009,0.012,0.013,0.000
PE_(0.0),0.018,0.063,0.103,0.187,0.236,0.362,0.048,0.003,0.003,0.004,0.009,0.013,0.013,0.000
PE_(0.0),0.018,0.066,0.104,0.190,0.239,0.363,0.049,0.002,0.005,0.005,0.009,0.013,0.016,0.000
PE_(0.0),0.017,0.060,0.098,0.184,0.232,0.352,0.046,0.002,0.003,0.003,0.006,0.007,0.014,0.000
PE_(0.0),0.019,0.062,0.097,0.176,0.221,0.342,0.047,0.003,0.004,0.005,0.007,0.008,0.012,0.000
PE_(0.0),0.016,0.060,0.094,0.172,0.216,0.335,0.044,0.002,0.004,0.006,0.008,0.009,0.009,0.000
PE_(0.0),0.016,0.059,0.095,0.176,0.221,0.339,0.045,0.002,0.003,0.004,0.006,0.008,0.009,0.000
F2T_(0.0),0.050,0.129,0.172,0.235,0.258,0.288,0.088,0.003,0.002,0.003,0.004,0.004,0.004,0.000
F2T_(0.0),0.051,0.129,0.171,0.233,0.254,0.288,0.088,0.002,0.003,0.003,0.003,0.005,0.006,0.000
