,Hit@1,Hit@5,Hit@10,Hit@30,Hit@50,Hit@100,MRR,std@1,std@5,std@10,std@30,std@50,std@100,std_MRR
Douban_(0.0),0.234,0.459,0.557,0.695,0.760,0.840,0.341,0.006,0.010,0.008,0.008,0.006,0.008,0.000
Douban_(0.1),0.201,0.424,0.519,0.671,0.737,0.826,0.307,0.011,0.019,0.022,0.025,0.021,0.018,0.000
Douban_(0.2),0.161,0.358,0.439,0.573,0.636,0.726,0.255,0.028,0.045,0.056,0.071,0.074,0.085,0.000
Douban_(0.3),0.136,0.309,0.375,0.495,0.551,0.633,0.219,0.018,0.032,0.041,0.067,0.076,0.096,0.000
Douban_(0.4),0.118,0.282,0.343,0.450,0.499,0.566,0.196,0.014,0.029,0.040,0.057,0.064,0.080,0.000
Douban_(0.5),0.117,0.274,0.329,0.419,0.462,0.522,0.191,0.009,0.016,0.017,0.016,0.018,0.017,0.000
Douban_(0.0),0.236,0.466,0.560,0.698,0.766,0.845,0.344,0.010,0.017,0.012,0.010,0.009,0.009,0.012
Douban_(0.1),0.207,0.433,0.528,0.679,0.741,0.829,0.315,0.014,0.018,0.020,0.021,0.018,0.016,0.015
Douban_(0.2),0.175,0.378,0.464,0.609,0.671,0.762,0.273,0.026,0.043,0.052,0.059,0.061,0.066,0.033
Douban_(0.3),0.128,0.302,0.369,0.487,0.538,0.608,0.211,0.018,0.033,0.045,0.065,0.073,0.082,0.026
Douban_(0.4),0.124,0.294,0.355,0.458,0.508,0.571,0.204,0.016,0.032,0.043,0.061,0.068,0.077,0.024
Douban_(0.5),0.121,0.288,0.348,0.441,0.484,0.544,0.199,0.008,0.015,0.017,0.023,0.020,0.020,0.010
Douban_(0.6),0.113,0.273,0.324,0.414,0.457,0.515,0.187,0.006,0.013,0.017,0.017,0.014,0.013,0.008
Douban_(0.7),0.108,0.265,0.319,0.408,0.451,0.512,0.182,0.008,0.016,0.016,0.016,0.016,0.017,0.011
Douban_(0.8),0.112,0.275,0.329,0.413,0.453,0.510,0.188,0.007,0.013,0.016,0.017,0.015,0.015,0.009
Douban_(0.9),0.107,0.270,0.323,0.408,0.448,0.508,0.182,0.007,0.018,0.020,0.022,0.022,0.021,0.012
Douban_(0.0),0.233,0.458,0.553,0.692,0.761,0.841,0.338,0.006,0.011,0.010,0.006,0.005,0.007,0.007
Douban_(0.0)_robust,0.231,0.461,0.555,0.693,0.761,0.841,0.338,0.002,0.004,0.003,0.001,0.004,0.004,0.003
Douban_(0.1),0.072,0.182,0.240,0.366,0.431,0.537,0.132,0.007,0.010,0.012,0.014,0.013,0.013,0.007
Douban_(0.1)_robust,0.074,0.183,0.241,0.372,0.436,0.541,0.133,0.002,0.005,0.006,0.005,0.003,0.004,0.002
Douban_(0.2),0.069,0.180,0.233,0.343,0.406,0.496,0.128,0.004,0.010,0.011,0.009,0.010,0.008,0.006
Douban_(0.2)_robust,0.069,0.181,0.234,0.343,0.409,0.497,0.128,0.001,0.002,0.002,0.002,0.005,0.004,0.001
Douban_(0.3),0.076,0.188,0.237,0.342,0.396,0.481,0.134,0.010,0.014,0.013,0.010,0.009,0.011,0.010
Douban_(0.3)_robust,0.079,0.192,0.241,0.341,0.397,0.482,0.137,0.006,0.008,0.007,0.003,0.004,0.004,0.006
Douban_(0.4),0.079,0.199,0.246,0.340,0.392,0.470,0.139,0.008,0.022,0.024,0.020,0.016,0.013,0.012
Douban_(0.4)_robust,0.080,0.199,0.246,0.340,0.392,0.471,0.138,0.004,0.009,0.010,0.010,0.008,0.005,0.006
Douban_(0.5),0.087,0.215,0.263,0.351,0.396,0.468,0.150,0.012,0.018,0.020,0.022,0.019,0.020,0.014
