,Hit@1,Hit@5,Hit@10,Hit@30,Hit@50,Hit@100,MRR,std@1,std@5,std@10,std@30,std@50,std@100,std_MRR
Cora_(0.0),0.748,0.939,0.958,0.974,0.980,0.986,0.833,0.029,0.017,0.014,0.012,0.011,0.008,0.000
Cora_(0.0)_robust,0.755,0.941,0.961,0.977,0.982,0.987,0.838,0.008,0.005,0.004,0.003,0.002,0.002,0.006
Cora_(0.1),0.649,0.879,0.912,0.943,0.952,0.962,0.751,0.022,0.013,0.010,0.009,0.008,0.008,0.000
Cora_(0.1)_robust,0.651,0.878,0.913,0.945,0.953,0.964,0.752,0.015,0.008,0.005,0.004,0.003,0.003,0.012
Cora_(0.2),0.588,0.844,0.888,0.925,0.937,0.951,0.701,0.020,0.019,0.014,0.011,0.010,0.009,0.000
Cora_(0.2)_robust,0.592,0.849,0.892,0.928,0.940,0.953,0.705,0.009,0.008,0.006,0.005,0.004,0.004,0.009
Cora_(0.3),0.517,0.780,0.834,0.886,0.905,0.928,0.632,0.017,0.017,0.013,0.010,0.010,0.010,0.000
Cora_(0.3)_robust,0.520,0.781,0.836,0.888,0.908,0.928,0.635,0.006,0.004,0.004,0.004,0.003,0.004,0.007
Cora_(0.4),0.451,0.725,0.793,0.860,0.883,0.911,0.573,0.018,0.019,0.017,0.012,0.009,0.007,0.000
Cora_(0.4)_robust,0.454,0.727,0.794,0.860,0.884,0.912,0.575,0.005,0.006,0.007,0.005,0.005,0.005,0.005
Cora_(0.5),0.352,0.605,0.676,0.750,0.779,0.818,0.466,0.018,0.020,0.017,0.015,0.014,0.014,0.000
Cora_(0.5)_robust,0.359,0.610,0.680,0.753,0.780,0.819,0.473,0.009,0.009,0.009,0.005,0.003,0.009,0.008
Cora_(0.6),0.328,0.578,0.649,0.722,0.749,0.780,0.439,0.013,0.012,0.013,0.015,0.012,0.010,0.000
Cora_(0.6)_robust,0.328,0.575,0.647,0.725,0.750,0.782,0.440,0.007,0.004,0.005,0.009,0.006,0.004,0.006
Cora_(0.7),0.323,0.576,0.650,0.723,0.748,0.776,0.435,0.016,0.019,0.018,0.018,0.017,0.017,0.000
Cora_(0.7)_robust,0.323,0.578,0.652,0.726,0.750,0.778,0.437,0.009,0.011,0.010,0.010,0.010,0.009,0.010
