,Hit@1,Hit@5,Hit@10,Hit@30,Hit@50,Hit@100,MRR,std@1,std@5,std@10,std@30,std@50,std@100,std_MRR
PE_(0.0),0.043,0.158,0.255,0.522,0.642,0.728,0.113,0.004,0.010,0.009,0.009,0.009,0.011,0.000
PE_(0.1),0.039,0.138,0.221,0.438,0.533,0.651,0.100,0.004,0.005,0.005,0.007,0.008,0.012,0.000
PE_(0.2),0.031,0.110,0.180,0.352,0.432,0.554,0.081,0.003,0.004,0.004,0.007,0.011,0.014,0.000
PE_(0.3),0.026,0.091,0.150,0.289,0.354,0.492,0.068,0.003,0.004,0.008,0.008,0.010,0.017,0.000
PE_(0.4),0.022,0.081,0.131,0.250,0.316,0.460,0.060,0.003,0.005,0.004,0.007,0.011,0.015,0.000
PE_(0.5),0.020,0.076,0.120,0.219,0.273,0.410,0.055,0.002,0.005,0.006,0.009,0.009,0.012,0.000
PE_(0.6),0.019,0.070,0.112,0.200,0.252,0.386,0.052,0.002,0.003,0.004,0.006,0.006,0.012,0.000
PE_(0.7),0.018,0.064,0.103,0.194,0.241,0.369,0.048,0.002,0.005,0.006,0.010,0.008,0.012,0.000
PE_(0.8),0.018,0.064,0.100,0.183,0.228,0.348,0.048,0.002,0.005,0.008,0.013,0.013,0.019,0.000
PE_(0.9),0.017,0.062,0.098,0.173,0.218,0.337,0.046,0.003,0.004,0.004,0.007,0.006,0.012,0.000
PE_(0.0),0.044,0.154,0.254,0.521,0.643,0.727,0.113,0.004,0.005,0.007,0.007,0.005,0.008,0.003
PE_(0.1),0.036,0.132,0.212,0.427,0.525,0.641,0.096,0.003,0.006,0.008,0.005,0.007,0.015,0.003
PE_(0.2),0.029,0.107,0.175,0.346,0.429,0.551,0.078,0.003,0.005,0.007,0.009,0.009,0.010,0.003
PE_(0.3),0.025,0.095,0.155,0.296,0.365,0.502,0.070,0.004,0.006,0.008,0.014,0.015,0.016,0.005
PE_(0.4),0.022,0.080,0.129,0.243,0.304,0.440,0.060,0.003,0.002,0.004,0.009,0.014,0.017,0.002
PE_(0.5),0.021,0.074,0.120,0.220,0.273,0.411,0.055,0.003,0.006,0.006,0.009,0.012,0.016,0.003
PE_(0.6),0.018,0.067,0.109,0.198,0.249,0.384,0.050,0.002,0.006,0.007,0.014,0.013,0.019,0.003
PE_(0.7),0.018,0.066,0.103,0.191,0.239,0.374,0.048,0.003,0.004,0.006,0.012,0.014,0.021,0.003
PE_(0.8),0.018,0.064,0.100,0.182,0.225,0.353,0.047,0.002,0.004,0.007,0.009,0.012,0.012,0.003
PE_(0.9),0.017,0.060,0.095,0.174,0.221,0.347,0.045,0.003,0.003,0.005,0.009,0.008,0.006,0.003
F2T_(0.0),0.049,0.128,0.172,0.234,0.256,0.288,0.087,0.002,0.003,0.003,0.003,0.003,0.003,0.001
F2T_(0.1),0.031,0.081,0.112,0.162,0.181,0.209,0.057,0.002,0.004,0.004,0.005,0.006,0.007,0.002
F2T_(0.2),0.025,0.066,0.090,0.138,0.157,0.185,0.046,0.002,0.004,0.004,0.005,0.006,0.006,0.002
F2T_(0.3),0.023,0.057,0.080,0.127,0.149,0.177,0.042,0.002,0.002,0.003,0.003,0.004,0.003,0.002
F2T_(0.4),0.017,0.048,0.069,0.115,0.138,0.166,0.035,0.002,0.003,0.003,0.004,0.004,0.004,0.002
F2T_(0.5),0.017,0.046,0.064,0.107,0.132,0.163,0.033,0.002,0.002,0.003,0.003,0.004,0.005,0.001
F2T_(0.6),0.015,0.040,0.058,0.100,0.124,0.155,0.030,0.002,0.002,0.003,0.003,0.003,0.003,0.002
