,Hit@1,Hit@5,Hit@10,Hit@30,Hit@50,Hit@100,MRR,std@1,std@5,std@10,std@30,std@50,std@100,std_MRR
PE_(0.0),0.018,0.085,0.152,0.384,0.489,0.526,0.066,0.003,0.003,0.005,0.011,0.019,0.027,0.000
PE_(0.0)_robust,0.018,0.084,0.152,0.383,0.496,0.536,0.066,0.001,0.001,0.003,0.002,0.010,0.014,0.001
PE_(0.1),0.018,0.085,0.157,0.378,0.463,0.520,0.067,0.002,0.005,0.007,0.013,0.028,0.031,0.000
PE_(0.1)_robust,0.019,0.085,0.157,0.380,0.463,0.519,0.067,0.001,0.002,0.004,0.002,0.010,0.012,0.001
PE_(0.2),0.016,0.081,0.154,0.346,0.418,0.485,0.062,0.002,0.003,0.004,0.016,0.028,0.035,0.000
PE_(0.2)_robust,0.017,0.082,0.154,0.350,0.423,0.490,0.063,0.001,0.002,0.001,0.005,0.010,0.014,0.001
PE_(0.3),0.017,0.084,0.152,0.307,0.374,0.449,0.062,0.003,0.005,0.007,0.025,0.035,0.039,0.000
PE_(0.3)_robust,0.018,0.083,0.152,0.315,0.381,0.456,0.061,0.001,0.002,0.004,0.009,0.015,0.011,0.000
PE_(0.4),0.019,0.081,0.144,0.273,0.328,0.417,0.060,0.003,0.009,0.016,0.024,0.029,0.031,0.000
PE_(0.4)_robust,0.020,0.083,0.150,0.282,0.342,0.431,0.061,0.002,0.006,0.006,0.004,0.006,0.003,0.002
PE_(0.5),0.021,0.083,0.139,0.262,0.325,0.419,0.061,0.004,0.003,0.010,0.026,0.030,0.032,0.000
PE_(0.5)_robust,0.022,0.083,0.141,0.272,0.334,0.429,0.061,0.002,0.002,0.003,0.009,0.011,0.009,0.002
PE_(0.6),0.018,0.076,0.128,0.243,0.308,0.413,0.056,0.004,0.009,0.013,0.032,0.037,0.039,0.000
PE_(0.6)_robust,0.019,0.079,0.133,0.239,0.309,0.411,0.058,0.002,0.004,0.003,0.008,0.011,0.007,0.003
PE_(0.7),0.018,0.069,0.114,0.212,0.270,0.376,0.052,0.002,0.009,0.015,0.024,0.030,0.035,0.000
PE_(0.7)_robust,0.019,0.071,0.117,0.218,0.279,0.385,0.053,0.000,0.001,0.004,0.009,0.010,0.017,0.001
PE_(0.8),0.019,0.070,0.115,0.216,0.281,0.387,0.053,0.004,0.007,0.011,0.018,0.020,0.018,0.000
PE_(0.8)_robust,0.019,0.072,0.119,0.219,0.287,0.392,0.054,0.002,0.003,0.006,0.007,0.007,0.008,0.002
PE_(0.9),0.018,0.065,0.104,0.203,0.265,0.380,0.050,0.004,0.008,0.014,0.023,0.030,0.038,0.000
PE_(0.9)_robust,0.018,0.065,0.107,0.208,0.270,0.390,0.051,0.001,0.004,0.003,0.005,0.009,0.012,0.002
F2T_(0.0),0.062,0.173,0.233,0.303,0.326,0.362,0.115,0.008,0.009,0.008,0.011,0.012,0.013,0.000
F2T_(0.0)_robust,0.063,0.173,0.233,0.306,0.330,0.363,0.115,0.003,0.004,0.003,0.005,0.006,0.009,0.003
F2T_(0.1),0.040,0.112,0.162,0.227,0.248,0.280,0.078,0.005,0.009,0.011,0.015,0.015,0.015,0.000
F2T_(0.1)_robust,0.041,0.112,0.164,0.228,0.249,0.283,0.079,0.002,0.004,0.002,0.001,0.004,0.004,0.002
F2T_(0.2),0.030,0.084,0.124,0.188,0.213,0.243,0.060,0.005,0.007,0.011,0.014,0.016,0.018,0.000
F2T_(0.2)_robust,0.031,0.086,0.128,0.194,0.218,0.247,0.061,0.002,0.003,0.002,0.003,0.005,0.007,0.002
F2T_(0.3),0.023,0.068,0.104,0.176,0.206,0.240,0.049,0.002,0.007,0.009,0.011,0.013,0.014,0.000
F2T_(0.3)_robust,0.023,0.070,0.103,0.177,0.209,0.242,0.050,0.001,0.004,0.005,0.005,0.006,0.004,0.001
F2T_(0.4),0.021,0.061,0.092,0.160,0.189,0.228,0.045,0.003,0.007,0.008,0.009,0.008,0.007,0.000
F2T_(0.4)_robust,0.021,0.061,0.093,0.161,0.191,0.230,0.045,0.002,0.005,0.005,0.003,0.002,0.003,0.003
F2T_(0.5),0.017,0.058,0.086,0.147,0.183,0.222,0.041,0.002,0.005,0.006,0.007,0.008,0.009,0.000
F2T_(0.5)_robust,0.018,0.058,0.086,0.148,0.185,0.226,0.041,0.001,0.003,0.003,0.004,0.004,0.003,0.001
